AlbumId,AlbumType,AlbumMusic,AlbumName,AlbumTitle,AlbumSubtitle,Platform,Language,AlbumCard,CardColor1,CardColorBG,FontColorTitle,FontColorSub,AlbumMark,AlbumScene,AlbumPrice,,
专辑唯一标识,专辑类型（1，VIP专辑2，音乐人专辑3，精品内购专辑4，钻石专辑5，金币专辑）,专辑歌曲（歌曲MID用|分隔）,专辑名（Tid）,album_3th1_subtitle1,专题副标题（Tid）,用|分隔（1=安卓GP|2=安卓国内|3=IOS）填写屏蔽的平台,禁用的语言(用|分割表示或)             英语:1 中国:2 中国台湾:3 德国:4 法语:5 荷兰:6 挪威:7 葡萄牙:8 土耳其:9 西班牙:10 意大利:11 阿拉伯:12 韩语:13 日语:14 俄语:15,对应专辑卡片,卡片色调,卡片背板色调,卡片字色,卡片字色,专辑角标（1，新品）,"专辑所在场景(1,首页2,商店)",专辑价格（2，音乐人专辑填商品id3，精品内购专辑填商品id）,备注,
100078,4,101062|101063|101064|101065|101066|101067|101068|101069,journey_activity_title13,album_songs_10th_anniv_subtitle,,,,133,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100077,4,100196|101060|101061,album_songs_music_of_japan,album_songs_music_of_japan_subtitle,,,,132,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100076,4,101054|101055|101056|101057|101058,album_songs_boogie_woogie_waves,album_songs_boogie_woogie_waves_subtitle,,,,131,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100075,4,101038|101039|101040|101041|101042|101043,album_songs_odyssey_in_key,album_songs_odyssey_in_key_subtitle,,,,130,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100074,4,101034|101035|101036|101037,album_songs_to_the_stars_and_back,album_songs_to_the_stars_and_back_subtitle,,,,129,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100073,4,101025|101026|101027|101028|101029|101030,album_songs_the_best_saturday,album_songs_the_best_saturday_subtitle,,,,128,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100072,4,100993|100995|101022|101023|101024,album_songs_blue_as_the_night,album_songs_blue_as_the_night_subtitle,,,,127,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100071,4,101007|101008|101009|101010|101011|101012|101013,album_songs_at_high_sea,album_songs_at_high_sea_subtitle,,,,126,#FFFFFF,#95e1ea,#395D73,#96B3C5,,,,,
100070,4,100086|100204|100746|100748|101004|101005|101006,album_korean_folk_music,album_korean_folk_music_subtitle,,,,125,#FFFFFF,#713cdd,#395D73,#96B3C5,,,,,
100069,4,100996|100997|100998|100999|101000|101001|101002|101003,album_yubo_fan1,album_yubo_fan1_subtitle,,,,124,#FFFFFF,#95e1ea,#395D73,#96B3C5,,2,,,
100051,4,100708|100056|100099|100750|100241|100257,album_april_2024,album_april_2024_subtitle,,,,123,#FFFFFF,#4a7860,#395D73,#96B3C5,,2,,春季收藏,
100049,4,100757|100269|100795|100522|100521|100214,album_february_2024,album_february_2024_subtitle,,,,120,#FFFFFF,#4a7860,#395D73,#96B3C5,,2,,情人节专辑,
100067,2,100958|100957|100956,album_wei2,album_wei2_subtitle,,,,105,,,,,1,2,album_001,魏琮霏专辑二,
100011,1,100391|100393|100372|100364|100354|100355|100340|100331|100319,album_vip1,album_vip_subtitle1,,2,,101,#FFFFFF,#449af0,#395D73,#96B3C5,,2,,VIP合辑1（钢琴块2独家音乐）,
100032,4,100187|100188|100189|100191|100193,album_shengdanjie1,album_shengdanjiemiaoshu1,,,12,115,#FFFFFF,#c2f6ff,#395D72,#96B3C4,1,2,,圣诞节专辑1,原3
100030,4,100534|100535|100536|100537|100538,album_shengdanjie3,album_shengdanjiemiaoshu3,,,12,116,#FFFFFF,#e2fcff,#395D70,#96B3C2,1,2,,圣诞节专辑2,
100024,4,100506|100507|100508|100509,album_halloween1,album_halloween1_subtitle,,,12,113,#FFFFFF,#4a2a9d,#395D73,#96B3C5,,2,,万圣节专辑1,1
100025,4,100094|100137|100134|100135,album_halloween2,album_halloween2_subtitle,,,12,114,#FFFFFF,#0a585c,#395D73,#96B3C5,,2,,万圣节专辑2,
100062,4,100660|100671|100635|100649|100099,album_student,album_student_subtitle,,,,108,#FFFFFF,#713cdd,#395D73,#96B3C5,,2,,学生时代,
100068,4,100795|100794|100793|100792|100791,album_3th1,album_3th1_subtitle1,,,,104,,,,,,2,,三周年专辑二,
100042,4,100620|100621|100623|100624,album_ballad,album_ballad_subtitle,,,,107,#FFFFFF,#b3bf00,#395D73,#96B3C5,,2,,民谣专辑,
100005,4,100152|100165|100092|100078|100111,album_chopin1,album_chopin1 _subtitle1,album_chopin1_subtitle2,,,106,#FFFFFF,#713cdd,#395D73,#96B3C5,,2,,肖邦1（钢琴诗人）,
100004,4,100209|100107|100124|100126,album_beethoven1,album_beethoven1_subtitle1,album_beethoven1_subtitle2,,,102,#FFFFFF,#713cdd,#395D73,#96B3C5,,2,,贝多芬1（古典音乐教父）,
100059,4,100690|100784,album_Adapted,album_Adapted_subtitle,,,,109,#FFFFFF,#3ebbe3,#395D72,#96B3C4,,2,,配器版专辑,
100021,4,100486|100487,album_newgameplay,album_newgameplay_subtitle1,,,,111,#FFFFFF,#44cce0,#395D73,#96B3C5,,2,,滑块玩法专辑,
100026,4,100510|100511|100512|100514,album_dance1,album_dance1_subtitle,,,,110,#FFFFFF,#713cdd,#395D73,#96B3C5,,2,,世界舞曲专辑1,
100027,4,100532|100533,album_corner,album_corner_subtitle,,,,103,#FFFFFF,#4a7860,#395D73,#96B3C5,,2,,时光的角落,
